e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
-0.057,0.607,-0.115,-0.585,0.306,0.555,0.505,-0.405,0.667,0.168,-0.537,0.59,0.495,0.345,-0.34,2.209,-0.051,-0.007,-0.714,0.046,0.698
-0.058,0.608,-0.115,-0.585,0.304,0.556,0.505,-0.408,0.671,0.167,-0.558,0.57,0.49,0.351,-0.351,2.207,-0.033,0.003,-0.71,0.048,0.702
-0.058,0.608,-0.115,-0.585,0.303,0.557,0.506,-0.334,0.644,0.173,-0.543,0.553,0.55,0.311,-0.357,2.207,-0.006,0.014,-0.708,0.035,0.705
-0.058,0.608,-0.115,-0.585,0.301,0.559,0.505,-0.177,0.618,0.154,-0.552,0.525,0.588,0.272,-0.353,2.212,0.055,0.024,-0.71,0.012,0.704
-0.058,0.608,-0.115,-0.585,0.3,0.559,0.505,-0.083,0.609,0.134,-0.551,0.51,0.603,0.268,-0.34,2.213,0.093,0.029,-0.712,0.001,0.702
-0.059,0.608,-0.114,-0.585,0.295,0.56,0.507,-0.051,0.606,0.13,-0.527,0.528,0.618,0.249,-0.329,2.206,0.14,0.043,-0.722,-0.002,0.69
-0.062,0.609,-0.115,-0.601,0.278,0.567,0.49,-0.052,0.606,0.132,-0.539,0.508,0.623,0.251,-0.316,2.197,0.171,0.075,-0.72,-0.001,0.69
-0.068,0.611,-0.116,-0.629,0.244,0.577,0.461,-0.053,0.607,0.132,-0.536,0.514,0.62,0.252,-0.301,2.199,0.187,0.066,-0.723,-0.005,0.688
-0.128,0.618,-0.106,-0.631,0.161,0.634,0.418,-0.055,0.606,0.132,-0.537,0.512,0.622,0.251,-0.291,2.204,0.193,0.065,-0.733,-0.006,0.678
-0.225,0.621,-0.1,-0.593,0.309,0.527,0.525,-0.054,0.604,0.132,-0.539,0.512,0.621,0.248,-0.289,2.211,0.191,0.054,-0.741,-0.021,0.669
-0.24,0.623,-0.098,-0.604,0.301,0.523,0.521,-0.055,0.605,0.132,-0.539,0.51,0.623,0.247,-0.296,2.213,0.173,0.05,-0.764,-0.024,0.643
-0.238,0.621,-0.093,-0.564,0.344,0.565,0.494,-0.055,0.605,0.132,-0.539,0.513,0.621,0.247,-0.311,2.213,0.138,0.05,-0.803,-0.025,0.594
-0.225,0.632,-0.096,-0.502,0.409,0.558,0.519,-0.055,0.605,0.131,-0.538,0.514,0.62,0.248,-0.323,2.213,0.101,0.048,-0.834,-0.024,0.549
-0.155,0.623,-0.167,-0.635,0.236,0.465,0.57,-0.055,0.605,0.131,-0.539,0.514,0.62,0.246,-0.337,2.216,0.03,-0.035,0.874,0.022,-0.484
-0.068,0.613,-0.153,-0.67,0.231,0.439,0.552,-0.056,0.604,0.131,-0.541,0.513,0.62,0.245,-0.335,2.22,-0.029,-0.028,0.889,0.028,-0.456
-0.035,0.614,-0.14,-0.673,0.206,0.447,0.552,-0.056,0.604,0.131,-0.544,0.511,0.619,0.244,-0.325,2.221,-0.079,-0.023,0.904,0.022,-0.426
-0.014,0.615,-0.134,-0.69,0.195,0.419,0.558,-0.055,0.603,0.129,-0.563,0.499,0.607,0.256,-0.299,2.219,-0.13,-0.03,0.915,0.013,-0.403
-0.015,0.613,-0.135,-0.687,0.193,0.422,0.559,-0.051,0.602,0.125,-0.623,0.469,0.563,0.273,-0.268,2.219,-0.163,-0.022,0.919,0.008,-0.394
-0.011,0.609,-0.134,-0.684,0.197,0.419,0.564,-0.047,0.605,0.123,-0.717,0.408,0.5,0.264,-0.237,2.217,-0.187,-0.019,0.92,0.009,-0.391
-0.009,0.608,-0.134,-0.684,0.197,0.418,0.564,-0.082,0.607,0.103,-0.857,0.324,0.393,0.079,-0.212,2.218,-0.207,-0.008,0.919,0.009,-0.393
-0.011,0.61,-0.134,-0.686,0.197,0.419,0.561,-0.196,0.623,0.015,-0.783,0.385,0.377,0.312,-0.199,2.228,-0.22,0.005,0.918,0.008,-0.396
-0.012,0.61,-0.134,-0.686,0.196,0.419,0.561,-0.318,0.637,-0.083,-0.682,0.421,0.343,0.489,-0.203,2.228,-0.231,0.02,0.917,0.016,-0.397
-0.011,0.61,-0.134,-0.685,0.196,0.418,0.564,-0.35,0.649,-0.118,-0.717,0.408,0.271,0.496,-0.222,2.222,-0.239,0.024,0.919,0.009,-0.394
-0.013,0.611,-0.134,-0.687,0.195,0.419,0.561,-0.309,0.638,-0.081,-0.726,0.388,0.296,0.484,-0.244,2.217,-0.237,0.015,0.921,0.002,-0.388
-0.012,0.609,-0.135,-0.687,0.192,0.421,0.56,-0.203,0.616,-0.015,-0.748,0.361,0.322,0.454,-0.268,2.22,-0.218,-0.004,0.928,0.012,-0.373
-0.011,0.608,-0.134,-0.688,0.19,0.422,0.559,-0.103,0.606,0.047,-0.748,0.357,0.362,0.426,-0.293,2.221,-0.184,-0.011,0.928,0.024,-0.372
-0.009,0.609,-0.133,-0.687,0.191,0.421,0.56,-0.061,0.604,0.076,-0.727,0.377,0.393,0.417,-0.319,2.216,-0.15,-0.017,0.928,0.026,-0.372
-0.011,0.61,-0.137,-0.704,0.179,0.414,0.548,-0.065,0.604,0.076,-0.732,0.369,0.392,0.418,-0.347,2.201,-0.111,-0.043,0.928,0.022,-0.368
-0.023,0.615,-0.149,-0.762,0.128,0.412,0.483,-0.066,0.602,0.075,-0.732,0.373,0.39,0.416,-0.356,2.199,-0.083,-0.064,0.928,0.022,-0.366
-0.069,0.636,-0.22,-0.729,0.097,0.365,0.571,-0.067,0.603,0.075,-0.733,0.37,0.393,0.414,-0.358,2.209,-0.069,-0.056,0.926,0.036,-0.372
-0.122,0.659,-0.311,-0.677,0.087,0.309,0.662,-0.067,0.603,0.075,-0.732,0.372,0.394,0.413,-0.357,2.211,-0.072,-0.043,0.924,0.045,-0.378
-0.14,0.651,-0.326,-0.689,0.125,0.32,0.638,-0.066,0.603,0.075,-0.733,0.374,0.393,0.411,-0.354,2.206,-0.09,-0.044,0.924,0.04,-0.378
-0.089,0.637,-0.279,-0.698,0.115,0.321,0.63,-0.065,0.602,0.075,-0.734,0.375,0.392,0.408,-0.342,2.208,-0.116,-0.044,0.927,0.035,-0.371
