e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
-0.128,0.616,0.094,0.009,0.521,0.845,0.121,0.107,0.616,0.087,-0.089,-0.549,-0.807,0.2,0.119,2.204,0.348,-0.026,-0.012,-0.018,0.999
-0.122,0.64,0.171,-0.016,0.407,0.9,0.157,0.109,0.615,0.087,-0.093,-0.549,-0.808,0.194,0.134,2.205,0.335,-0.015,-0.008,-0.028,0.999
-0.126,0.655,0.305,-0.034,0.575,0.802,0.157,0.111,0.617,0.087,-0.093,-0.548,-0.808,0.194,0.134,2.213,0.332,-0.019,-0.006,-0.022,1.0
-0.163,0.681,0.426,-0.071,0.669,0.713,0.198,0.111,0.617,0.087,-0.092,-0.549,-0.807,0.197,0.126,2.213,0.341,-0.033,-0.005,-0.021,0.999
-0.158,0.674,0.431,-0.04,0.655,0.743,0.131,0.111,0.616,0.088,-0.091,-0.545,-0.809,0.2,0.105,2.211,0.361,-0.033,0.002,-0.023,0.999
-0.164,0.65,0.354,-0.064,0.617,0.766,0.166,0.111,0.616,0.089,-0.089,-0.543,-0.81,0.202,0.077,2.211,0.378,-0.024,-0.004,-0.016,1.0
-0.146,0.629,0.22,-0.019,0.605,0.784,0.137,0.111,0.616,0.089,-0.086,-0.542,-0.81,0.205,0.036,2.212,0.386,-0.023,-0.006,-0.01,1.0
-0.137,0.617,0.107,0.009,0.589,0.8,0.118,0.11,0.616,0.089,-0.087,-0.542,-0.81,0.204,-0.005,2.212,0.38,-0.021,0.001,-0.011,1.0
-0.133,0.615,0.046,-0.002,0.587,0.8,0.126,0.113,0.618,0.089,-0.09,-0.536,-0.817,0.193,-0.051,2.214,0.364,-0.024,0.004,-0.008,1.0
-0.132,0.614,0.052,-0.001,0.577,0.808,0.12,0.116,0.619,0.094,-0.125,-0.486,-0.838,0.214,-0.092,2.213,0.347,-0.024,0.001,0.001,1.0
-0.133,0.611,0.055,0.002,0.577,0.807,0.127,0.135,0.641,0.138,-0.134,-0.401,-0.873,0.244,-0.117,2.217,0.333,-0.01,-0.006,0.019,1.0
-0.132,0.611,0.056,0.003,0.575,0.808,0.127,0.157,0.648,0.237,-0.071,-0.535,-0.808,0.237,-0.127,2.221,0.323,-0.01,-0.019,0.021,1.0
-0.132,0.61,0.056,0.004,0.575,0.808,0.128,0.117,0.653,0.309,0.073,-0.633,-0.763,0.108,-0.127,2.223,0.324,-0.012,-0.061,0.022,0.998
-0.132,0.61,0.056,0.005,0.571,0.811,0.125,0.097,0.641,0.278,0.12,-0.61,-0.777,0.099,-0.121,2.224,0.33,-0.007,-0.128,0.017,0.992
-0.133,0.611,0.056,0.006,0.574,0.81,0.122,0.083,0.625,0.208,0.126,-0.581,-0.8,0.073,-0.105,2.222,0.334,-0.005,-0.179,0.004,0.984
-0.133,0.612,0.056,0.005,0.57,0.813,0.12,0.083,0.618,0.113,0.136,-0.568,-0.81,0.053,-0.083,2.217,0.335,-0.001,-0.243,-0.005,0.97
-0.134,0.614,0.058,-0.006,0.556,0.822,0.121,0.089,0.616,0.1,0.132,-0.535,-0.831,0.08,-0.069,2.207,0.329,-0.001,-0.307,-0.006,0.952
-0.146,0.62,0.064,-0.076,0.517,0.841,0.141,0.091,0.614,0.101,0.114,-0.569,-0.812,0.059,-0.066,2.205,0.323,0.009,-0.338,-0.013,0.941
-0.251,0.647,0.116,-0.212,0.516,0.766,0.319,0.091,0.614,0.102,0.115,-0.563,-0.816,0.059,-0.078,2.213,0.31,0.008,-0.358,-0.007,0.934
-0.339,0.669,0.156,-0.265,0.547,0.68,0.409,0.09,0.613,0.102,0.116,-0.563,-0.816,0.062,-0.1,2.214,0.301,0.001,-0.373,-0.001,0.928
-0.347,0.658,0.171,-0.237,0.558,0.714,0.35,0.089,0.613,0.103,0.115,-0.563,-0.816,0.066,-0.138,2.212,0.297,-0.004,-0.387,0.0,0.922
-0.284,0.638,0.103,-0.299,0.518,0.719,0.355,0.089,0.613,0.103,0.116,-0.561,-0.817,0.068,-0.186,2.212,0.291,-0.004,-0.397,0.003,0.918
-0.196,0.623,0.042,-0.299,0.508,0.736,0.333,0.088,0.612,0.103,0.118,-0.561,-0.816,0.068,-0.221,2.212,0.283,-0.005,-0.397,-0.001,0.918
-0.106,0.614,-0.027,-0.313,0.48,0.757,0.313,0.087,0.611,0.101,0.137,-0.562,-0.814,0.055,-0.252,2.208,0.262,-0.006,-0.401,-0.008,0.916
-0.069,0.612,-0.057,-0.309,0.49,0.743,0.336,0.082,0.61,0.086,-0.271,0.514,0.814,0.012,-0.277,2.201,0.236,-0.005,-0.394,-0.012,0.919
-0.074,0.612,-0.055,-0.312,0.487,0.748,0.327,0.075,0.614,0.099,0.406,-0.272,-0.872,0.004,-0.301,2.192,0.212,0.005,-0.393,0.009,0.919
